_id,DishImage,DishName,Calories,Protein,Carbohydrates,Fat,Fiber,Sodium,Iron,Calcium,Sugar,__v,QuantityRequired,nutritionId,selected,type,time
680534f0d035d501d3d0fb55,https://drive.google.com/uc?id=16lnX-Ji0Mv-uWw2LfkwKapngqMk_QC-L,Chapati/Roti,202.31,5.88,0,0,0,0,0,0,0,0,100 g,85,,,
680534f0d035d501d3d0fb56,https://drive.google.com/uc?id=1t3zZcAoP7DrYoYa0ROPS8J06a5TdcADp,Plain parantha/paratha,298.3,5.06,0,0,0,0,0,0,0,0,100 g,86,,,
680534f0d035d501d3d0fb57,https://drive.google.com/uc?id=1QyLlyYdpg5RwonEzzRrLBusrTeULGwWV,Potato parantha/paratha (Aloo ka parantha/paratha),205.04,3.7,0,0,0,0,0,0,0,0,100 g,87,,,
680534f0d035d501d3d0fb58,https://drive.google.com/uc?id=1upuxAsSzIU7jGR01mCk_hIvg0JFNumTf,Radish parantha/paratha (Mooli ka parantha/paratha),183.52,3.3,0,0,0,0,0,0,0,0,100 g,88,,,
680534f0d035d501d3d0fb59,https://drive.google.com/uc?id=1sKIjp_yDK1Tuuumah6DuP7x-dwXXmNBD,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,3.73,0,0,0,0,0,0,0,0,100 g,89,,,
680534f0d035d501d3d0fb5a,https://drive.google.com/uc?id=1jQKwJx59BsetjmhQQwp-MbK5lSM_jEfT,Dal parantha/paratha,268.24,6.78,0,0,0,0,0,0,0,0,100 g,90,,,
680534f0d035d501d3d0fb5b,https://drive.google.com/uc?id=1AMDc_WVJQuTVF5wxAPOC6KlDHpV-W4O6,Sprouted moong parantha/paratha,228.59,4.29,0,0,0,0,0,0,0,0,100 g,91,,,
680534f0d035d501d3d0fb5c,https://drive.google.com/uc?id=1Fpf_Es5CeC6umXYlzntTnYgtuv3RWzA4,Pea parantha/paratha (Matar ka parantha/paratha),190.73,5.59,0,0,0,0,0,0,0,0,100 g,92,,,
680534f0d035d501d3d0fb5d,https://drive.google.com/uc?id=16_pv4CVcnz-uTwRlPCw7ehGtQDt9gTYL,Keema parantha/paratha,238.09,9.41,0,0,0,0,0,0,0,0,100 g,93,,,
680534f0d035d501d3d0fb5e,https://drive.google.com/uc?id=1K8aJD8tPcdDqOJT0p-rjetcCJGDEizpn,Paneer parantha/paratha,262.97,7.98,0,0,0,0,0,0,0,0,100 g,94,,,
