_id,DishName,Calories,Protein,Carbohydrates,Fat,Fiber,Sodium,Iron,Calcium,Sugar,__v,nutritionId,selected,type,time
680534f0d035d501d3d0fb4e,Egg drop soup,26.64,12.93,0,,,,,,,0,78,,,
680534f0d035d501d3d0fb4f,Chinese cabbage and meat ball soup,484.31,5.21,0,,,,,,,0,79,,,
680534f0d035d501d3d0fb50,French onion soup,55.61,11.41,0,,,,,,,0,80,,,
680534f0d035d501d3d0fb51,Hot and sour soup,31.51,3.12,0,,,,,,,0,81,,,
680534f0d035d501d3d0fb52,Talaumein soup,35.63,10.12,0,,,,,,,0,82,,,
680534f0d035d501d3d0fb53,Cold cucumber soup (Thanda kheere ka soup),48.03,2.99,0,,,,,,,0,83,,,
680534f0d035d501d3d0fb54,Cold summer garden soup,49.19,8.57,0,,,,,,,0,84,,,
680534f0d035d501d3d0fb55,Chapati/Roti,202.31,5.88,0,,,,,,,0,85,,,
680534f0d035d501d3d0fb56,Plain parantha/paratha,298.3,5.06,0,,,,,,,0,86,,,
680534f0d035d501d3d0fb57,Potato parantha/paratha (Aloo ka parantha/paratha),205.04,3.7,0,,,,,,,0,87,,,
680534f0d035d501d3d0fb58,Radish parantha/paratha (Mooli ka parantha/paratha),183.52,3.3,0,,,,,,,0,88,,,
680534f0d035d501d3d0fb59,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,3.73,0,,,,,,,0,89,,,
680534f0d035d501d3d0fb5a,Dal parantha/paratha,268.24,6.78,0,,,,,,,0,90,,,
680534f0d035d501d3d0fb5b,Sprouted moong parantha/paratha,228.59,4.29,0,,,,,,,0,91,,,
680534f0d035d501d3d0fb5c,Pea parantha/paratha (Matar ka parantha/paratha),190.73,5.59,0,,,,,,,0,92,,,
680534f0d035d501d3d0fb5d,Keema parantha/paratha,238.09,9.41,0,,,,,,,0,93,,,
680534f0d035d501d3d0fb5e,Paneer parantha/paratha,262.97,7.98,0,,,,,,,0,94,,,
680534f0d035d501d3d0fb5f,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,5.54,0,,,,,,,0,95,,,
680534f0d035d501d3d0fb60,Poori,737.63,1.35,0,,,,,,,0,96,,,
680534f0d035d501d3d0fb61,Spinach poori (Palak poori),684.25,1.42,0,,,,,,,0,97,,,
680534f0d035d501d3d0fb62,Methi poori,710.02,1.45,0,,,,,,,0,98,,,
680534f0d035d501d3d0fb63,Dal stuffed poori,785.16,2.08,0,,,,,,,0,99,,,
680534f0d035d501d3d0fb64,Potato stuffed poori (Aloo ki poori),776.74,1.52,0,,,,,,,0,100,,,
680534f0d035d501d3d0fb65,Tandoori parantha/paratha,295.37,5.08,0,,,,,,,0,101,,,
680534f0d035d501d3d0fb66,Boiled rice (Uble chawal),117.19,2.6,0,,,,,,,0,102,,,
680534f0d035d501d3d0fb67,Plain pulao,140.21,2.34,0,,,,,,,0,103,,,
680534f0d035d501d3d0fb68,Mixed vegetable pulao,113.05,2.72,0,,,,,,,0,104,,,
680534f0d035d501d3d0fb69,Mushroom pulao,124.29,2.52,0,,,,,,,0,105,,,
680534f0d035d501d3d0fb6a,Sprouted moong pulao,112.97,2.19,0,,,,,,,0,106,,,
680534f0d035d501d3d0fb6b,Paneer pulao,581.91,1.98,0,,,,,,,0,107,,,
680534f0d035d501d3d0fb6c,Peanut pulao ,193.28,5.32,0,,,,,,,0,108,,,
680534f0d035d501d3d0fb6d,Navratan pulao,261.71,6.2,0,,,,,,,0,109,,,
680534f0d035d501d3d0fb6e,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,4.88,0,,,,,,,0,110,,,
680534f0d035d501d3d0fb6f,Mutton biryani/biriyani,190.76,7.38,0,,,,,,,0,111,,,
680534f0d035d501d3d0fb70,Vegetable biryani/biriyani,174.61,3.16,0,,,,,,,0,112,,,
680534f0d035d501d3d0fb71,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,4.26,0,,,,,,,0,113,,,
680534f0d035d501d3d0fb72,Sweet rice (Meethe chawal),215.41,2.1,0,,,,,,,0,114,,,
680534f0d035d501d3d0fb73,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,5.75,0,,,,,,,0,115,,,
680534f0d035d501d3d0fb74,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,7.45,0,,,,,,,0,116,,,
680534f0d035d501d3d0fb75,Spanish rice,164.24,4.19,0,,,,,,,0,117,,,
680534f0d035d501d3d0fb76,Chinese fried rice,120.58,4.05,0,,,,,,,0,118,,,
680534f0d035d501d3d0fb77,Macroni cheese pie,170.63,5.85,0,,,,,,,0,119,,,
680534f0d035d501d3d0fb78,Vegetable chowmein,129.71,3.07,0,,,,,,,0,120,,,
680534f0d035d501d3d0fb79,Chicken chowmein,151.33,6.33,0,,,,,,,0,121,,,
680534f0d035d501d3d0fb7a,Cheese noodle ring,133.67,6.22,0,,,,,,,0,122,,,
680534f0d035d501d3d0fb7b,Spaghetti and cheese balls in tomato sauce,508.32,2.41,0,,,,,,,0,123,,,
680534f0d035d501d3d0fb7c,Penne platter,177.4,5.04,0,,,,,,,0,124,,,
680534f0d035d501d3d0fb7d,Pasta hot pot,125.17,5.84,0,,,,,,,0,125,,,
680534f0d035d501d3d0fb7e,Chicken lasagne,187.49,10.45,0,,,,,,,0,126,,,
680534f0d035d501d3d0fb7f,Fettuccine with spinach sauce,129.21,3.1,0,,,,,,,0,127,,,
680534f0d035d501d3d0fb80,Naan,286.45,8.05,0,,,,,,,0,128,,,
680534f0d035d501d3d0fb81,Bhatura,793.2,1.63,0,,,,,,,0,129,,,
680534f0d035d501d3d0fb82,Idli,137.54,4.64,0,,,,,,,0,130,,,
680534f0d035d501d3d0fb83,Masala dosa,164.58,3.29,0,,,,,,,0,131,,,
680534f0d035d501d3d0fb84,Semolina dosa (Suji/Rava dosa),227.05,7.3,0,,,,,,,0,132,,,
680534f0d035d501d3d0fb85,Onion tomato uttapam,462.02,1.91,0,,,,,,,0,133,,,
680534f0d035d501d3d0fb86,Paneer kaathi roll,285.94,6.92,0,,,,,,,0,134,,,
680534f0d035d501d3d0fb87,Makki ki roti,263.97,3.49,0,,,,,,,0,135,,,
680534f0d035d501d3d0fb88,Washed moong dal (Dhuli moong ki dal),50,2.68,0,,,,,,,0,136,,,
680534f0d035d501d3d0fb89,Washed urad dal (Dhuli urad ki dal),61.32,2.51,0,,,,,,,0,137,,,
680534f0d035d501d3d0fb8a,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,2.79,0,,,,,,,0,138,,,
680534f0d035d501d3d0fb8b,Dry washed urad,124.71,6.85,0,,,,,,,0,139,,,
680534f0d035d501d3d0fb8c,Mixed dal,61.93,2.51,0,,,,,,,0,140,,,
680534f0d035d501d3d0fb8d,Whole moong (Moong ki dal),53.7,2.25,0,,,,,,,0,141,,,
680534f0d035d501d3d0fb8e,Whole masoor (Masoor ki dal),54.05,2.28,0,,,,,,,0,142,,,
680534f0d035d501d3d0fb8f,Whole moth (Moth ki dal),55,2.01,0,,,,,,,0,143,,,
680534f0d035d501d3d0fb90,Whole urad (Urad ki dal),53.8,2.21,0,,,,,,,0,144,,,
680534f0d035d501d3d0fb91,Moti mahal dal (Urad rajmah mix dal),103.13,3.93,0,,,,,,,0,145,,,
680534f0d035d501d3d0fb92,Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,5.67,0,,,,,,,0,146,,,
680534f0d035d501d3d0fb93,Chickpeas curry (Safed channa curry),163.43,6.1,0,,,,,,,0,147,,,
680534f0d035d501d3d0fb94,Lobia curry,148.99,6.06,0,,,,,,,0,148,,,
680534f0d035d501d3d0fb95,Soyabean curry,163.28,10.43,0,,,,,,,0,149,,,
680534f0d035d501d3d0fb96,Kidney bean curry (Rajmah curry),143.73,5.95,0,,,,,,,0,150,,,
680534f0d035d501d3d0fb97,Sambar,96.92,3.35,0,,,,,,,0,151,,,
680534f0d035d501d3d0fb98,Besan kadhi with pakodies,403.35,1.64,0,,,,,,,0,152,,,
680534f0d035d501d3d0fb99,Khatta channa,202.57,6.3,0,,,,,,,0,153,,,
680534f0d035d501d3d0fb9a,Sprouted moong dal chat,32.47,1.35,0,,,,,,,0,154,,,
680534f0d035d501d3d0fb9b,Potato cauliflower (Aloo gobhi),106.18,1.9,0,,,,,,,0,155,,,
680534f0d035d501d3d0fb9c,Potato capsicum (Shimla mirch aloo),125.53,1.41,0,,,,,,,0,156,,,
680534f0d035d501d3d0fb9d,Cabbage and peas (Pattagobhi aur matar),63.88,3.24,0,,,,,,,0,157,,,
680534f0d035d501d3d0fb9e,Carrot and fenugreek leaves (Gajar methi),61.92,2.1,0,,,,,,,0,158,,,
680534f0d035d501d3d0fb9f,Potato fenugreek (Aloo methi),135.15,2.25,0,,,,,,,0,159,,,
680534f0d035d501d3d0fba0,Brinjal bhartha (Baingan ka bhartha),65.12,1.38,0,,,,,,,0,160,,,
680534f0d035d501d3d0fba1,Dry potato (Sookhe aloo),103.15,1.62,0,,,,,,,0,161,,,
680534f0d035d501d3d0fba2,Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,2.62,0,,,,,,,0,162,,,
680534f0d035d501d3d0fba3,Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,2.64,0,,,,,,,0,163,,,
680534f0d035d501d3d0fba4,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,1.82,0,,,,,,,0,164,,,
680534f0d035d501d3d0fba5,Raw turnip with coconut ,132.15,1.8,0,,,,,,,0,165,,,
680534f0d035d501d3d0fba6,Raw papaya with coconut (Papaya thoran),132.75,1.54,0,,,,,,,0,166,,,
680534f0d035d501d3d0fba7,Stuffed okra (Bharwa bhindi),94.34,2.08,0,,,,,,,0,167,,,
680534f0d035d501d3d0fba8,Stuffed round gourd (Bharwa tinde),72.8,1.1,0,,,,,,,0,168,,,
680534f0d035d501d3d0fba9,Stuffed capsicum (Bharwa shimla mirch),90.94,1.34,0,,,,,,,0,169,,,
680534f0d035d501d3d0fbaa,Stuffed brinjal (Bharwa baingan),93,1.53,0,,,,,,,0,170,,,
680534f0d035d501d3d0fbab,Stuffed tomatoes (Bharwa tamatar),93.35,3.28,0,,,,,,,0,171,,,
680534f0d035d501d3d0fbac,Pea potato curry (Aloo matar),100.92,3.48,0,,,,,,,0,172,,,
680534f0d035d501d3d0fbad,Pea paneer curry (Matar paneer),134.83,6.61,0,,,,,,,0,173,,,
680534f0d035d501d3d0fbae,Pea mushroom curry (Matar mushroom),93.3,3.87,0,,,,,,,0,174,,,
680534f0d035d501d3d0fbaf,Pea curry (Matar ki sabzi),102.99,4.51,0,,,,,,,0,175,,,
680534f0d035d501d3d0fbb0,Pea vadi curry,101.95,4.64,0,,,,,,,0,176,,,
680534f0d035d501d3d0fbb1,Paneer curry,176.52,7.8,0,,,,,,,0,177,,,
680534f0d035d501d3d0fbb2,Lotus stem curry (Kamal kakdi curry),110.34,1.53,0,,,,,,,0,178,,,
680534f0d035d501d3d0fbb3,Gravy for kofta,125.59,1.75,0,,,,,,,0,179,,,
680534f0d035d501d3d0fbb4,Pea kofta curry (Matar kofta curry),595.66,2.01,0,,,,,,,0,180,,,
680534f0d035d501d3d0fbb5,Spinach kofta curry (Palak kofta curry),571.78,1.09,0,,,,,,,0,181,,,
680534f0d035d501d3d0fbb6,Paneer kofta curry,670.91,2.39,0,,,,,,,0,182,,,
680534f0d035d501d3d0fbb7,Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,0.96,0,,,,,,,0,183,,,
680534f0d035d501d3d0fbb8,Raw banana kofta curry (Kela kofta curry),627.27,0.62,0,,,,,,,0,184,,,
680534f0d035d501d3d0fbb9,Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,1.04,0,,,,,,,0,185,,,
680534f0d035d501d3d0fbba,Cabbage kofta curry (Pattagobhi kofta curry),639.81,0.98,0,,,,,,,0,186,,,
680534f0d035d501d3d0fbbb,Ghiya/Lauki Kofta Curry,638.71,0.89,0,,,,,,,0,187,,,
680534f0d035d501d3d0fbbc,Spinach paneer kofta curry (Palak paneer kofta curry),606.03,1.43,0,,,,,,,0,188,,,
680534f0d035d501d3d0fbbd,Vegetarian egg kofta curry,627.41,1.33,0,,,,,,,0,189,,,
680534f0d035d501d3d0fbbe,Baked vegetables,88.99,3.67,0,,,,,,,0,190,,,
680534f0d035d501d3d0fbbf,Cauliflower musallam (Phoolgobhi musallam),58.83,1.89,0,,,,,,,0,191,,,
680534f0d035d501d3d0fbc0,Baked vegetables with spinach ,77.79,3.22,0,,,,,,,0,192,,,
680534f0d035d501d3d0fbc1,Baked potato with skin ,135.77,3.43,0,,,,,,,0,193,,,
680534f0d035d501d3d0fbc2,Shepherd's pie (vegetarian),135.63,5.04,0,,,,,,,0,194,,,
680534f0d035d501d3d0fbc3,Baked brinjal in tomato sauce,38.63,1.58,0,,,,,,,0,195,,,
680534f0d035d501d3d0fbc4,Dum aloo,682.33,0.7,0,,,,,,,0,196,,,
680534f0d035d501d3d0fbc5,Spinach paneer (Palak paneer),77.68,4.03,0,,,,,,,0,197,,,
680534f0d035d501d3d0fbc6,Methi chaman,475.62,1.54,0,,,,,,,0,198,,,
680534f0d035d501d3d0fbc7,Sarson ka saag,87.84,3,0,,,,,,,0,199,,,
680534f0d035d501d3d0fbc8,Jackfruit sabzi (Kathal ki sabzi),625.4,0.69,0,,,,,,,0,200,,,
680534f0d035d501d3d0fbc9,Avial,124.56,2.46,0,,,,,,,0,201,,,
680534f0d035d501d3d0fbca,Al yakhani,147.54,2.86,0,,,,,,,0,202,,,
680534f0d035d501d3d0fbcb,Shahi paneer,156.5,5.06,0,,,,,,,0,203,,,
680534f0d035d501d3d0fbcc,Paneer in butter sauce,145.61,6.99,0,,,,,,,0,204,,,
680534f0d035d501d3d0fbcd,Methi malai paneer,194.98,7.34,0,,,,,,,0,205,,,
680534f0d035d501d3d0fbce,Chilli paneer,777.51,2.1,0,,,,,,,0,206,,,
680534f0d035d501d3d0fbcf,Paneer makhana korma,775.82,3.24,0,,,,,,,0,207,,,
680534f0d035d501d3d0fbd0,Kadhai Paneer,107.99,4.33,0,,,,,,,0,208,,,
680534f0d035d501d3d0fbd1,Roghan josh,139.59,9.56,0,,,,,,,0,209,,,
680534f0d035d501d3d0fbd2,Spinach mutton (Palak mutton),80.32,5.74,0,,,,,,,0,210,,,
680534f0d035d501d3d0fbd3,Pea keema curry (Matar keema ki sabzi),133,8.43,0,,,,,,,0,211,,,
680534f0d035d501d3d0fbd4,Keema kofta curry,154.45,9.77,0,,,,,,,0,212,,,
680534f0d035d501d3d0fbd5,Kashmiri mutton koftas (Gushtaba),97.42,6.33,0,,,,,,,0,213,,,
680534f0d035d501d3d0fbd6,Mutton yakhni,104.13,8.27,0,,,,,,,0,214,,,
680534f0d035d501d3d0fbd7,Chicken yakhni,99,10.66,0,,,,,,,0,215,,,
680534f0d035d501d3d0fbd8,Mutton do piaza,183.3,9.39,0,,,,,,,0,216,,,
680534f0d035d501d3d0fbd9,Mutton chops,663.64,4.03,0,,,,,,,0,217,,,
680534f0d035d501d3d0fbda,Shammi kebab,685.69,4.52,0,,,,,,,0,218,,,
680534f0d035d501d3d0fbdb,Scotch egg,676.89,4.05,0,,,,,,,0,219,,,
680534f0d035d501d3d0fbdc,Shepherd's pie (with minced meat),142.78,7.45,0,,,,,,,0,220,,,
680534f0d035d501d3d0fbdd,Chicken curry,129.22,11.79,0,,,,,,,0,221,,,
680534f0d035d501d3d0fbde,Tandoori chicken,145.2,16.26,0,,,,,,,0,222,,,
680534f0d035d501d3d0fbdf,Butter chicken,137,10.92,0,,,,,,,0,223,,,
680534f0d035d501d3d0fbe0,Chicken kebab,729.41,3.71,0,,,,,,,0,224,,,
680534f0d035d501d3d0fbe1,Chilli chicken,198.83,9.57,0,,,,,,,0,225,,,
