_id,selected,DishName,DishImage,isSaved,Calories,Protein,Fats,Carbohydrates,Sodium,Calcium,Iron,QuantityRequired,type,time,__v
680534f0d035d501d3d0fbba,Not Selected,Cabbage kofta curry (Pattagobhi kofta curry),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/cabbage%20kofta%20curry%20(pattagobhi%20kofta%20curry).png,false,639.81,0.98,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbc4,Not Selected,Dum aloo,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/dum%20aloo.png,false,682.33,0.7,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc0c,Not Selected,Moong dal kheer,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/moong%20dal%20kheer.png,false,77.16,2.95,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc12,Not Selected,Potato halwa (Aloo ka halwa),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/potato%20halwa%20(aloo%20ka%20halwa).png,false,151.66,1.53,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc1a,Not Selected,Fruit Ice cream (Phalon ka Ice cream),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/fruit%20ice%20cream%20(phalon%20ka%20ice%20cream).png,false,171.46,4.37,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc51,Not Selected,Minced meat samosa (Keema ka samosa),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/minced%20meat%20samosa%20(keema%20ka%20samosa).png,false,620.99,4.43,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc5a,Not Selected,Spinach chickpeas cutlet (Palak channa dal cutlet),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/spinach%20chickpeas%20cutlet%20(palak%20channa%20dal%20cutlet).png,false,688.03,1.44,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc75,Not Selected,Chocolate eclairs,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/chocolate%20eclairs.png,false,239.42,4.24,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc81,Not Selected,Orange cake,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/orange%20cake.png,false,357.61,6.1,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fca0,Not Selected,Soyabean namak paras,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/soyabean%20namak%20paras.png,false,838.46,2.65,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcad,Not Selected,Paushtik ladoo,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/paushtik%20ladoo.png,false,485.87,7.65,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcca,Not Selected,Orange omelette/omlet,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/orange%20omelette/omlet.png,false,194.66,8.93,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fccc,Not Selected,Spanish omelette/omlet,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/spanish%20omelette/omlet.png,false,157.45,8.25,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcd0,Not Selected,Meat consomme (with mutton),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/meat%20consomme%20(with%20mutton).png,false,29.76,14.86,0,0,0,0,0,100 g,Breakfast,Morning,0
